TIMESTAMP,BBM_EBOX_OUT_VOLTAGE_MEASURED,STATOR_AND_MAIN_BATT_IN_VOLTAGE_MEASURED,BBM_WINCH_OUT_VOLTAGE_MEASURED,STATOR_TO_BBM_CURRENT_MEASURED,MAIN_BATT_TO_BBM_CURRENT_MEASURED,BBM_TO_WINCH_AND_BATT_CURRENT_MEASURED,WINCH_BATT_AND_BBM_TO_WINCH_CURRENT_MEASURED,BBM_TO_EBOX_CURRENT_MEASURED
log_data_2018-02-22T1130.csv,11.84,12.09,11.83,0.10,0.21,0.09,-0.02,0.18
2018-02-22T11-30-00_0000,11.84,12.08,11.85,0.06,0.47,0.10,0.02,0.19
2018-02-22T11-30-00_0001,11.85,12.11,11.85,0.07,0.21,0.09,-0.02,0.16
2018-02-22T11-30-00_0002,11.82,12.09,11.85,0.09,0.38,0.05,0.02,0.35
2018-02-22T11-30-00_0003,11.83,12.09,11.85,0.07,0.52,0.07,0.02,0.21
2018-02-22T11-30-00_0004,11.83,12.09,11.85,0.09,0.29,0.10,0.00,0.38
2018-02-22T11-30-00_0005,11.84,12.09,11.86,0.09,0.23,0.07,-0.02,0.46
2018-02-22T11-30-00_0006,11.84,12.09,11.85,0.08,0.19,0.11,0.02,0.32
2018-02-22T11-30-00_0007,11.85,12.09,11.83,0.08,0.21,0.10,0.02,0.19
2018-02-22T11-30-00_0008,11.85,12.10,11.85,0.07,0.21,0.07,0.00,0.19
2018-02-22T11-30-00_0009,11.84,12.08,11.85,0.09,0.48,0.11,0.00,0.18
2018-02-22T11-30-00_0010,11.85,12.11,11.85,0.06,0.22,0.11,0.00,0.19
2018-02-22T11-30-00_0011,11.82,12.09,11.85,0.08,0.42,0.06,0.02,0.32
2018-02-22T11-30-00_0012,11.85,12.09,11.85,0.07,0.22,0.11,0.00,0.20
2018-02-22T11-30-00_0013,11.82,12.09,11.85,0.07,0.41,0.07,0.09,0.33
2018-02-22T11-30-00_0014,11.84,12.09,11.83,0.09,0.22,0.13,0.02,0.18
2018-02-22T11-30-00_0015,11.83,12.09,11.85,0.09,0.47,0.07,0.09,0.25
2018-02-22T11-30-00_0016,11.85,12.09,11.84,0.06,0.21,0.09,0.02,0.24
2018-02-22T11-30-01_0000,11.85,12.08,11.85,0.09,0.23,0.10,0.05,0.19
2018-02-22T11-30-01_0001,11.84,12.09,11.85,0.07,0.26,0.10,0.00,0.40
2018-02-22T11-30-01_0002,11.85,12.08,11.85,0.08,0.25,0.06,0.00,0.20
2018-02-22T11-30-01_0003,11.85,12.09,11.84,0.08,0.21,0.11,-0.05,0.20
